Familia APGIV,Familia,NombreActual,Authors,NombreMemoria,CODIGO,CodigoPBDY_18,FormaPBDY_2018,Forma_2015,NumRec_2018,MinYear_2018,MaxYear_2018,UserNotes2018
Acanthaceae,Acanthaceae,Mendoncia sp. M,,Mendoncia sp. M,MEND_M,,,CW,16,2001,2010,
Acanthaceae,Acanthaceae,Mendoncia sp. N,,Mendonica sp. N,MEND_N,,,CW,11,2002,2008,
Acanthaceae,Acanthaceae,Mendoncia sp. O,,Mendoncia sp. O,MEND_O,,,CW,6,2002,2005,
Acanthaceae,Acanthaceae,Mendoncia sp. R,,Mendoncia sp. R,MEND_R,,,CW,1,2001,2001,Discontinued.
Acanthaceae,Acanthaceae,Mendoncia sp. S (mezclada?),,Mendoncia sp. S,MEND_S,,,CW,354,2002,2011,Probably mixed (mezclada) collections (MEND_C + MENDGL). Stopped use after 2011.
Acanthaceae,Acanthaceae,Mendoncia sp. T,,Mendonica sp. T,MEND_T,,,CW,3,2007,2008,Discontinued.
Achariaceae,Flacourtiaceae,Carpotroche longifolia,(Poepp.) Benth.,Carpotroche longifolia,CAR3LO,CARPLO,S,SL,26,2002,2017,
Achariaceae,Flacourtiaceae,Lindackeria paludosa,(Benth.) Gilg,Lindackeria paludosa,LINDPA,LINDPA,M,TM,585,2000,2018,
Achariaceae,Flacourtiaceae,Mayna odorata,Aubl.,Mayna odorata,MAYNOD,MAYNOD,S,SL,6,2001,2015,
Achariaceae,Flacourtiaceae,Mayna yasuniana,Á.J. Pérez & Liesner & D. Santam.,Mayna 'anelio',MAYNAN,MAYNAN,S,SL,1,2003,2003,New plot ID in 2018 as yasuniana. Temp-name was 'anelio' 2001-2014.
Anacardiaceae,Anacardiaceae,Astronium graveolens,Jacq.,Astronium 'comun',AST2CO,ASTRGR,T,TC,59,2000,2018,
Anacardiaceae,Anacardiaceae,Spondias mombin,L.,Spondias mombin,SPONMO,SPONMO,T,TC,1338,2000,2018,
Anacardiaceae,Anacardiaceae,Tapirira guianensis,Aubl.,Tapirira guianensis,TAPIGU,TAPIGU,T,TC,658,2000,2018,
Annonaceae,Annonaceae,Anaxagorea brevipes,Benth.,Anaxagorea brevipes,ANAXBR,ANAXBR,U,TU,121,2000,2017,
Annonaceae,Annonaceae,Annona ambotay,Aubl.,Annona ambotay,ANNOAM,ANNOAM,M,TM,1,2017,2017,
Annonaceae,Annonaceae,Annona glomerulifera,(Maas & Westra) H. Rainer,Rollinia cuspidata,ROLLCU,ROLLCU,U,TU,11,2000,2007,Tree near trap 163 is A. glomerulifera but identity at other traps not yet confirmed.
Annonaceae,Annonaceae,Annona dolichopetala,(R.E. Fr.) H. Rainer,Rollinia 'palida',ROLLPA,ROLLDO,M,TM,173,2000,2017,
Annonaceae,Annonaceae,Annona edulis,(Triana & Planch.) H. Rainer,Guatteria 'gransmoothie',GUATG2,GUATGS,T,TC,2,2003,2016,
Annonaceae,Annonaceae,Annona 'flacaglabra',,Rollinia 'flacaglabra',ANNOFL,ROLLFL,S,SL,3,2016,2017,
Annonaceae,Annonaceae,Annona 'mosaic',,Annona 'mosaic',ANNOMO,ANNOMO,T,TC,5,2000,2017,
Annonaceae,Annonaceae,Annona neochrysocarpa,H. Rainer,Rollinia chrysocarpa,ROLLCH,ROLLCH,S,SL,1,2007,2007,
Annonaceae,Annonaceae,Annona papilionella,(Diels) H. Rainer,Rollinia pittieri,ROLLPI,ROLLPI,T,TC,391,2000,2018,
Annonaceae,Annonaceae,Annonaceae sp. AI,,Annonaceae sp. AI,ANN_AI,,,T?,1,2000,2000,Discontinued.
Annonaceae,Annonaceae,Annonaceae sp. AN,,Annonaceae sp. AN,ANN_AN,,,T?,2,2000,2000,Discontinued.
Annonaceae,Annonaceae,Annonaceae sp. BE,,Annonaceae sp. BE,ANN_BE,,,T?,1,2001,2001,Discontinued.
Annonaceae,Annonaceae,Annonaceae sp. E,,Annonaceae sp. E,ANN_E,,,T?,1,2000,2000,Discontinued.
Annonaceae,Annonaceae,Annonaceae sp. N,,Annonaceae sp. N,ANN_N,,,T?,1,2000,2000,Discontinued.
Annonaceae,Annonaceae,Annonaceae sp. Q,,Annonaceae sp. Q,ANN_Q,,,T?,1,2000,2000,Discontinued.
Annonaceae,Annonaceae,Cremastosperma cauliflorum,R.E. Fr.,Cremastosperma 'brilla',CREMBR,CREMCA,U,TM,5,2001,2017,
Annonaceae,Annonaceae,Cremastosperma gracilipes,R.E. Fr.,Cremastosperma gracilipes,CREMGR,CREMGR,S,SL,2,2015,2015,
Annonaceae,Annonaceae,Cymbopetalum coriaceum,N.A. Murray,Cymbopetalum coriaceum,CYM1CO,CYMBCO,S,SL,2,2015,2015,
Annonaceae,Annonaceae,Duguetia 'cortaten',,Duguetia 'cortaten',DUGUCO,DUGUCO,T,TC,19,2002,2012,
Annonaceae,Annonaceae,Duguetia hadrantha,(Diels) R.E. Fr.,Duguetia hadrantha,DUGUHA,DUGUHA,U,TU,428,2000,2017,
Annonaceae,Annonaceae,Duguetia quitarensis,Benth.,Duguetia quitarensis,DUGUQU,DUGUQU,M,TM,89,2002,2018,
Annonaceae,Annonaceae,Duguetia spixiana,Mart.,Duguetia spixiana,DUGUSP,DUGUSP,M,TM,5,2008,2014,
Annonaceae,Annonaceae,Guatteria asplundiana,R.E. Fr.,Guatteria 'grande',GUATG1,GUATGR,T,TC,154,2000,2018,
Annonaceae,Annonaceae,Guatteria glaberrima,R.E. Fr.,Guatteria 'tipica',GUATT2,GUATGL,T,TM,182,2000,2018,
Annonaceae,Annonaceae,Guatteria multivenia,Diels,Guatteria multivenia,GUATMU,GUATMU,M,TM,31,2000,2017,
Annonaceae,Annonaceae,Guatteria 'punctomarron',,Guatteria 'punctomarron',GUATP2,GUATPC,T,TC,475,2000,2018,
Annonaceae,Annonaceae,Guatteria recurvisepala,R.E. Fr.,Guatteria 'rolin',GUATRO,GUATRE,M,TM,610,2000,2017,
Annonaceae,Annonaceae,Guatteria scalarinervia,D.R. Simpson,Guatteria 'pulvinada',GUATP1,GUATPU,M,TM,964,2000,2018,
Annonaceae,Annonaceae,Guatteria sp. E,,Guatteria sp. E,GUAT_E,,,T?,20,2000,2011,
Annonaceae,Annonaceae,Guatteria sp. J,,Guatteria sp. J,GUAT_J,,,T?,10,2000,2011,
Annonaceae,Annonaceae,Guatteria sp. R,,Guatteria sp. R,GUAT_R,,,T?,2,2003,2011,
Annonaceae,Annonaceae,Guatteria stipitata,R.E. Fr.,Guatteria 'cachorro',GUATCA,GUATCI,M,TM,26,2001,2017,
Annonaceae,Annonaceae,Oxandra mediocris,Diels,Oxandra mediocris,OXANME,OXANME,M,TM,68,2000,2016,
Annonaceae,Annonaceae,Oxandra riedeliana,R.E. Fr.,Oxandra riedeliana,OXANRI,OXANRI,M,TM,66,2000,2016,
Annonaceae,Annonaceae,Pseudomalmea diclina,(R.E. Fr.) Chatrou,Pseudomalmea diclina,PSE2DI,PSEDDI,T,TC,248,2000,2018,
Annonaceae,Annonaceae,Ruizodendron ovale,(Ruiz & Pav.) R.E. Fr.,Ruizodendron ovale,RUIZOV,RUIZOV,T,TC,12,2001,2016,
Annonaceae,Annonaceae,Trigynaea triplinervis,D.M. Johnson & N.A. Murray,Trigynaea triplinervis,TRI3TR,TRIGTR,U,TU,29,2000,2017,
Annonaceae,Annonaceae,Unonopsis floribunda,Diels,Unonopsis floribunda,UNONFL,UNONFL,M,TM,7,2007,2017,
Annonaceae,Annonaceae,Unonopsis sp. C,,Unonopsis sp. C,UNON_C,,,T?,2,2000,2001,
Annonaceae,Annonaceae,Unonopsis veneficiorum,(Mart.) R.E. Fr.,Unonopsis 'venefalso',UNONVE,UNONVE,U,TU,494,2000,2018,
Annonaceae,Annonaceae,Xylopia cuspidata,Diels,Xylopia cuspidata,XYL1CU,XYLOCU,S,TU,3,2000,2007,
Annonaceae,Annonaceae,Xylopia sericea,A. St.-Hil.,Xylopia 'ligu',XYL1LI,XYLOLI,T,TC,393,2000,2017,
Apocynaceae,Apocynaceae,Allomarkgrafia sp.,,Apocynaceae sp. OF,APO_OF,,,CW,369,2003,2018,Very common in traps. Either a new species or new to Ecuador.
Apocynaceae,Apocynaceae,Apocynaceae sp. AD,,Apocynaceae sp. AD,APO_AD,,,CW,1,2001,2001,
Apocynaceae,Apocynaceae,Apocynaceae sp. AE,,Apocynaceae sp. AE,APO_AE,,,CW,1,2001,2001,Discontinued.
Apocynaceae,Apocynaceae,Apocynaceae sp. AF,,Apocynaceae sp. AF,APO_AF,,,CW,1,2002,2002,Discontinued.
Apocynaceae,Apocynaceae,Apocynaceae sp. AG,,Apocynaceae sp. AG,APO_AG,,,CW,2,2001,2001,Discontinued.
Apocynaceae,Apocynaceae,Apocynaceae sp. C,,Apocynaceae sp. C,APO_C,,,CW,1,2000,2000,Discontinued.
Apocynaceae,Apocynaceae,Apocynaceae sp. Z,,Apocynaceae sp. Z,APO_Z,,,CW,7,2002,2004,
Apocynaceae,Apocynaceae,Aspidosperma 'blancimpreso',,Aspidosperma 'blancimpreso',ASPIBL,ASPIBL,T,TC,383,2000,2018,
Apocynaceae,Apocynaceae,Aspidosperma darienense,Woodson ex Dwyer,Aspidosperma darienense,ASPIDA,ASPIDA,T,TC,27,2001,2014,
Apocynaceae,Apocynaceae,Aspidosperma megalocarpon,Müll. Arg.,Aspidosperma 'grandis',ASPIGR,ASPIME,T,TC,94,2000,2014,
Apocynaceae,Apocynaceae,Aspidosperma rigidum,Rusby,Aspidosperma rigidum,ASPIRI,ASPIRI,T,TC,5,2001,2012,
Apocynaceae,Apocynaceae,Forsteronia acouci,(Aubl.) A. DC.,Fosteronia acouci,FOSTAC,,,CW,708,2000,2018,
Apocynaceae,Apocynaceae,Forsteronia affinis,Müll. Arg.,Fosteronia affinis,FOSTAF,,,CW,913,2000,2018,
Apocynaceae,Apocynaceae,Himatanthus sucuuba,(Spruce ex Müll. Arg.) Woodson,Himatanthus sucuuba,HIMASU,HIMASU,T,TC,54,2000,2016,
Apocynaceae,Apocynaceae,Lacmellea lactescens,(Kulm.) Markgr.,Lacmellea lactescens,LACMLA,LACMLA,T,TC,6,2006,2017,
Apocynaceae,Apocynaceae,Lacmellea oblongata,Markgr.,Lacmellea  'ramalada',LACMRA,LACMOB,U,TU,13,2012,2017,
Apocynaceae,Apocynaceae,Mandevilla sp. A,,Mandevilla sp. A,MAN_A,,,CH,79,2004,2015,
Apocynaceae,Apocynaceae,Mandevilla sp. B,,Mandevilla sp. B,MAN_B,,,CH,65,2007,2017,
Apocynaceae,Asclepiadaceae,Metalepis albiflora,Urb.,Metalepis albiflora,METAAL,,,CW,49,2000,2017,Adult voucher awaiting ID confirmation.
Apocynaceae,Asclepiadaceae,Metalepis sp. A,,Asclepiadaceae sp. A (2),ASCL_A,,,CW,9,2002,2018,
Apocynaceae,Apocynaceae,Odontadenia puncticulosa,(Rich.) Pulle,Odontadenia puncticulosa,ODONPU,,,CW,4,2007,2016,
Apocynaceae,Apocynaceae,Odontodenia sp. A,,Odontodenia sp. A,ODON_A,,,CW,473,2000,2018,Probably Odontadenia stemmadeniifolia Woodson.
Apocynaceae,Apocynaceae,Odontodenia sp. B,,Odontodenia sp. B,ODON_B,,,CW,3,2001,2001,Possibly equals ODON_A.
Apocynaceae,Apocynaceae,Rauvolfia praecox,K. Schum. ex Markgr.,Rauvolfia 'vertichica',RAUVVE,RAUVPR,T,TC,460,2000,2018,
Apocynaceae,Apocynaceae,Tabernaemontana sananho,Ruiz & Pav.,Tabernaemontana sananho,TAB2SA,TABRSA,U,TU,7,2000,2016,
Apocynaceae,Apocynaceae,Tassadia sp. AQ,,Apocynaceae sp. AQ,APO_AQ,,,CW,149,2003,2017,Scan of adult voucher awaiting identification.
Araceae,Araceae,Anthurium cf. bonplandii,G.S. Bunting,Anthurium bonplandii,ANTHBO,,,XT,334,2008,2017,Anthurium bonplandii not known from Ecuador.
Araceae,Araceae,Anthurium cf. griseum,Croat,Anthurium griseum,ANTHGR,,,EH,74,2006,2016,
Araceae,Araceae,Anthurium cf. sinuatum,Benth. ex Schott,Anthurium sinuatum,ANTHSI,,,EH,1443,2001,2018,Anthuirium sinuatum not know from Ecuador.
Araceae,Araceae,Anthurium sp. D,,Anthurium sp. D,ANTH_D,,,,1,2001,2001,
Araceae,Araceae,Anthurium sp. G,,Anthurium sp. G,ANTH_G,,,EH,2,2002,2002,Discontinued.
Araceae,Araceae,Anthurium sp. H,,Anthurium sp. H,ANTH_H,,,EH,951,2001,2017,
Araceae,Araceae,Anthurium sp. J ('palmata'),,Anthurium sp. J ('palmata'),ANTH_J,,,EH,33,2008,2010,Temp-name 'palmata' because leaves palmate.
Araceae,Araceae,Araceae sp. A,,Araceae sp. A,ARA_A,,,,3,2007,2010,Discontinued.
Araceae,Araceae,Araceae sp. AC,,Araceae sp. AC,ARA_AC,,,-,11,2002,2008,
Araceae,Araceae,Araceae spp. (partes indet. a sp.),,Araceae spp. (partes indet. a sp.),ARA_PIN,,,-,2603,2000,2008,Includes all unidentified aroid parts (mostly seeds) before 4-2008 with codes ARAxx (where xx equals the trap number or is absent) and a few unknowns. After this date samples assigned to specific codes.
Araceae,Araceae,Dieffenbachia sp. A,,Dieffenbachia sp. A,DIEF_A,,,XT,5,2000,2010,
Araceae,Araceae,Dracontium longipes,Engl.,Dracontium longipes,DRACLO,,,XT,2,2002,2002,
Araceae,Araceae,Heteropsis flexuosa,(Kunth) G.S. Bunting,Heteropsis sp. A,HETE2_A,,,HL,29,2002,2018,Adult sterile voucher awaiting ID confirmation.
Araceae,Araceae,Heteropsis sp. B,,Heteropsis sp. B,HETE2_B,,,HL,6,2009,2015,
Araceae,Araceae,Monstera obliqua,Miq.,Monstera obliqua,MONSOB,,,HV,102,2000,2017,
Araceae,Araceae,Philodendron 'platypodium',,Philodendron 'platypodium',PHILPL,,,HV,583,2003,2018,Philodendron platypodium not known from Ecuador.
Araceae,Araceae,Philodendron sp.,,Phylodendron sp.,PHYLLE,,,HV,1,2005,2005,Discontinued.
Araceae,Araceae,Philodendron sp. A,,Philodendron sp. A,PHIL_A,,,HV,16,2002,2008,
Araceae,Araceae,Philodendron sp. B,,Philodendron sp. B,PHIL_B,,,HV,1,2006,2006,
Araceae,Araceae,Philodendron sp. 'GR',,Philodendron sp. 'GR',PHILGR,,,HV,1,2013,2013,Discontinued.
Araceae,Araceae,Syngonium sp. A,,Syngonium sp. A,SYN1_A,,,HV,4,2008,2017,
Araceae,Araceae,Syngonium sp. B,,Syngonium sp. B,SYN1_B,,,HV,3,2008,2010,
Araliaceae,Araliaceae,Dendropanax arboreus,(L.) Dec. & Planch,Dendropanax arboreus,DEN2AR,DENDAR,T,TC,303,2000,2017,
Araliaceae,Araliaceae,Dendropanax caucanus,(Harms) Harms,Dendropanax 'grande',DEN2GR,DENDCA,M,TM,538,2000,2016,
Araliaceae,Araliaceae,Dendropanax querceti,Donn. Sm.,Dendropanax 'quercetorum',DEN2QU,DENDQU,S,SL,120,2000,2017,
Araliaceae,Araliaceae,Schefflera morototoni,(Aubl.) Maguire & Stey. & Frod.,Schefflera morototoni,SCH2MO,SCHEMO,T,TC,616,2000,2017,
Arecaceae,Arecaceae,Aiphanes ulei,(Dammer) Burret,Aiphanes ulei,AIPHUL,AIPHUL,S,SL,35,2000,2018,
Arecaceae,Arecaceae,Astrocaryum chambira,Burret,Astrocaryum chambira,AST1CH,ASTCCH,T,TC,598,2000,2018,
Arecaceae,Arecaceae,Astrocaryum urostachys,Burret,Astrocaryum murumuru,AST1MU,ASTCMU,M,TM,70,2001,2018,New ID as Astrocaryum urostachys in 2014-2018 plot lists.
Arecaceae,Arecaceae,Attalea cf. insignis,(Mart.) Drude,Attalea insignis cf.,ATTAIN,,,SS,4,2005,2007,Stem subterranean (not aerial) hence not included in plot censuses.
Arecaceae,Arecaceae,Attalea maripa,(Aubl.) Mart.,Attalea maripa,ATTAMA,ATTAMA,T,TC,12,2001,2017,
Arecaceae,Arecaceae,Bactris corossilla,H. Karst.,Bactris corossilla,BACTCO,BACTCO,S,SL,1,2003,2003,
Arecaceae,Arecaceae,Bactris maraja,Mart.,Bactris maraja,BACTMA,BACTMA,S,SL,2,2009,2013,Two varieties included in plot code BACTMA. Trap 200 has var. juruensis. Trap 53 not identified to variety (maraja or juruensis).
Arecaceae,Arecaceae,Bactris simplicifrons,Mart.,Bactris simplicifrons,BACTSI,BACTSI,S,SL,6,2006,2011,
Arecaceae,Arecaceae,Desmoncus giganteus,A.J. Hend.,Desmoncus orthacanthos,DESMOR,,,CW,25,2001,2016,New ID 2013.
Arecaceae,Arecaceae,Euterpe precatoria,Mart.,Euterpe precatoria,EUTEPR,EUTEPR,T,TM,130,2000,2017,
Arecaceae,Arecaceae,Geonoma aspidifolia,Spruce,Geonoma 'comun',GEONCO,GEONCO,S,SL,282,2000,2018,
Arecaceae,Arecaceae,Geonoma brongniartii,Mart.,Geonoma brongniartii,GEONBR,,,SS,3,2000,2011,Palm stem < 1 m tall hence not included in plot censuses.
Arecaceae,Arecaceae,Geonoma macrostachys,Mart.,Geonoma sp. A,GEON_A,,,SS,34,2000,2017,Palm stem < 1 m tall hence not included in plot censuses.
Arecaceae,Arecaceae,Geonoma maxima,(Poit.) Kunth,Geonoma maxima,GEONMA,GEONMA,S,SL,57,2001,2017,
Arecaceae,Arecaceae,Geonoma stricta var. stricta,(Poit.) Kunth,Geonoma stricta,GEONST,GEONST,S,SL,7,2000,2006,Both varieties included in plot code GEONST. Only var. stricta in traps. Var. piscicauda rare on plot.
Arecaceae,Arecaceae,Geonoma triglochin,Burrett,Geonoma triglochin,GEONTR,GEONTR,S,SL,13,2003,2016,
Arecaceae,Arecaceae,Hyospathe elegans,Mart.,Hyospathe elegans,HYOSEL,HYOSEL,S,SL,5,2002,2010,
Arecaceae,Arecaceae,Iriartea deltoidea,Ruiz & Pav.,Iriartea deltoidea,IRIADE,IRIADE,T,TM,17376,2000,2018,
Arecaceae,Arecaceae,Mauritia flexuosa,L.f.,Mauritia flexuosa,MAURFL,MAURFL,T,TC,226,2000,2018,
Arecaceae,Arecaceae,Oenocarpus bataua,Mart.,Oenocarpus bataua,OENOBA,OENOBA,T,TC,1500,2000,2018,
Arecaceae,Arecaceae,Oenocarpus mapora,H. Karst.,Oenocarpus mapora,OENOMA,OENOMA,M,TM,2,2002,2005,
Arecaceae,Arecaceae,Phytelephas tenuicaulis,(Barfod) A.J. Hend.,Phytelephas tenuicaulis,PHYTTE,PHYTTE,U,TU,7,2006,2016,
Arecaceae,Arecaceae,Prestoea schultzeana,(Burret) H.E. Moore,Prestoea schultzeana,PRESSC,PRESSC,S,TU,149,2000,2017,
Arecaceae,Arecaceae,Socratea exorrhiza,(Mart.) H. Wendl.,Socratea exorrhiza,SOCREX,SOCREX,T,TC,41,2000,2017,
Arecaceae,Arecaceae,Wettinia maynensis,Spruce,Wettinia maynensis,WETTMA,WETTMA,M,TM,208,2000,2018,
Aristolochiaceae,Aristolochiaceae,Aristolochia sp. A,,Aristolochia sp. A,ARIS_A,,,CW,457,2000,2018,No adult voucher yet. Unsure if mixed collection of similar parts (mostly seeds).
Aristolochiaceae,Aristolochiaceae,Aristolochia sp. H,,Aristolochia sp. H,ARIS_H,,,CW,1,2000,2000,Scan of adult voucher awaiting ID.
Aristolochiaceae,Aristolochiaceae,Aristolochia sp. K,,Aristolochia sp. K,ARIS_K,,,CW,18,2005,2017,
Aristolochiaceae,Aristolochiaceae,Aristolochia sp. L,,Aristolochia sp. L,ARIS_L,,,CW,1,2005,2005,
Aristolochiaceae,Aristolochiaceae,Aristolochia sp. M,,Aristolochia sp. M,ARIS_M,,,CW,2,2007,2017,
Asteraceae,Asteraceae,Asteraceae sp. C,,Asteraceae sp. C,AST_C,,,CW,561,2000,2017,No adult vouchers. Widespread. Unsure if mixed collection.
Asteraceae,Asteraceae,Asteraceae sp. D,,Asteraceae sp. D,AST_D,,,CW,7,2000,2012,
Asteraceae,Asteraceae,Asteraceae sp. G,,Asteraceae sp. G,AST_G,,,CW,450,2001,2017,No adult vouchers. Widespread. Unsure if mixed collection.
Asteraceae,Asteraceae,Asteraceae sp. H,,Asteraceae sp. H,AST_H,,,CW,10,2000,2016,
Asteraceae,Asteraceae,Asteraceae sp. Q,,Asteraceae sp. Q,AST_Q,,,CW,7,2000,2001,
Asteraceae,Asteraceae,Asteraceae sp. R,,Asteraceae sp. R,AST_R,,,CW,24,2000,2016,Early records may include some UNCA_A.
Asteraceae,Asteraceae,Asteraceae sp. S,,Asteraceae sp. S,AST_S,,,CW,82,2007,2013,
Asteraceae,Asteraceae,Mikania 'anchaliza',,Mikania 'anchaliza',MIKAAN,,,CW,38,2013,2014,Separated from AST_B on 10-2013. Adult voucher awaiting ID.
Asteraceae,Asteraceae,Mikania 'dorata',,Mikania 'dorata',MIKADO,,,CW,54,2011,2016,Separated from AST_B 12-2011. Adult voucher awaiting ID.
Asteraceae,Asteraceae,Mikania sp. B ,(Cf. Mikania hookeriana DC.),Asteraceae sp. B,AST_B,,,CW,6591,2000,2018,Adult vouchers cf. hookeriana.  Very widespread. Early collections are definitely mixed with at least MIKAAN & MIDADO. Later collections may still  be mixed with other species.
Begoniaceae,Begoniaceae,Begonia sp. B,,Begonia sp. B,BEGO_B,,,XT,35,2000,2008,
Bignoniaceae,Bignoniaceae,Adenocalymma cladotrichum,(Sandwith) L.G. Lohmann,Memora cladotricha,MEMOCL,MEMOCL,U,TU,27,2002,2017,Memora cladotricha Sandwith (still plot name) moved into Adenocalymma by Lohmann & Taylor 2014.
Bignoniaceae,Bignoniaceae,Adenocalymma 'purpurascens',,Adenocalymma 'purpurascens',ADENPU,,,CW,150,2000,2018,Adult voucher awaiting ID.
Bignoniaceae,Bignoniaceae,Amphilophium cf. sp A.,,Amphilophium sp. A,AMPH_A,,,CW,111,2006,2017,Probably not Amphilophium.
Bignoniaceae,Bignoniaceae,Amphilophium crucigerum,(L.) L.G. Lohmann ,Pithecoctinium sp. A,PITH_A,,,CW,33,2006,2017,Pithecoctinium crucigerum (L.) A.H. Gentry moved into Amphilophium by Lohmann & Taylor 2014.
Bignoniaceae,Bignoniaceae,Amphilophium paniculatum,(L.) Kunth,Amphilophium paniculatum,AMPHPA,,,CW,78,2000,2011,
Bignoniaceae,Bignoniaceae,Amphilophium sp. ,,Distictella sp. A,DIS1_A,,,CW,79,2004,2016,Distictella moved into Amphilophium by Lohmann & Taylor 2014. Not equal to AMPH_A.
Bignoniaceae,Bignoniaceae,Anemopaegma 'chrysoleucum',,Anemopaegma chrysoleucum,ANEMCH,,,CW,163,2000,2017,Not Anemopaegma chrysoleucum because seeds not buoyant & not water dispersed. Adult voucher awaiting ID.
Bignoniaceae,Bignoniaceae,Arrabidaea sp. B,,Arrabidaea sp. B,ARRA_B,,,CW,41,2000,2016,Arrabidaea recently divided into three genera by Lohmann & Taylor 2014).  Identification to Fridericia or Cuspidaria or Tanaecium not yet possible. 
Bignoniaceae,Bignoniaceae,Arrabidaea sp. T,,Arrabidaea sp. T,ARRA_T,,,CW,1,2004,2004,Discontinued.
Bignoniaceae,Bignoniaceae,Bignonia cf. aequinoctialis,L. ,Bignoniaceae sp. F,BIG_F,,,CW,131,2000,2017,Adult voucher awaiting ID confirmation. Cydista aequinoctialis (L.) Miers. transferred back to Bignonia by Lohmann & Taylor 2014.
Bignoniaceae,Bignoniaceae,Bignonia sp. A,,Roentgenia sp. A,ROEN_A,,,CW,1,2013,2013,Adult voucher awaiting identification. Roentgenia moved into Bignonia by Lohmann & Taylor 2014.
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. AE,,Bignoniaceae sp. AE,BIG_AE,,,CW,57,2000,2016,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. AK,,Bignoniaceae sp. AK,BIG_AK,,,CW,7,2000,2010,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. AM,,Bignoniaceae sp. AM,BIG_AM,,,CW,4,2000,2001,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. AO,,Bignoniaceae sp. AO,BIG_AO,,,CW,2,2000,2000,Possibly equal BIG_AE.
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. AP,,Bignoniaceae sp. AP,BIG_AP,,,CW,3,2000,2016,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. AS,,Bignoniaceae sp. AS,BIG_AS,,,CW,14,2001,2008,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. AW,,Bignoniaceae sp. AW,BIG_AW,,,CW,6,2001,2017,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. AZ,,Bignoniaceae sp. AZ,BIG_AZ,,,CW,1,2001,2001,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. B,,Bignoniaceae sp. B,BIG_B,,,CW,508,2000,2017,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. BA,,Bignoniaceae sp. BA,BIG_BA,,,CW,23,2000,2004,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. BB,,Bignoniaceae sp. BB,BIG_BB,,,CW,185,2000,2016,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. BL,,Bignoniaceae sp. BL,BIG_BL,,,CW,5,2001,2017,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. BM,,Bignoniaceae sp. BM,BIG_BM,,,CW,27,2001,2011,
Bignoniaceae,Bignoniaceae,Bignoniaceae sp. BQ,,Bignoniaceae sp. BQ,BIG_BQ,,,CW,2,2004,2004,
